query,category,expectedOutcome,rank,id,title,artist,source,score,licenseType,medium,classification,culture,objectDate,tags,subjectTitles,styleTitles,techniqueTitles,themeTitles,imageUrl,originalLink,sourceLink
fashion editorial photography monochrome,photography,Photography sources should dominate top ranking while still preserving licensing and source labels.,3,unsplash-1tjMpBTvFAA,A woman with braided hair in a red outfit against a clear blue sky,Marjan Taghipour,Unsplash,1.73,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1662532577856-e8ee8b138a8b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHwyfHxmYXNoaW9uJTIwZWRpdG9yaWFsJTIwcGhvdG9ncmFwaHklMjBtb25vY2hyb21lfGVufDF8fHx8MTc4OTU5Nzc4OXww&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/woman-in-red-outfit-against-sky-1tjMpBTvFAA,https://unsplash.com/@marjantaghipour
fashion editorial photography monochrome,photography,Photography sources should dominate top ranking while still preserving licensing and source labels.,4,unsplash-HlVjI5WmoQY,A person in a blazer and trousers with a hand in a pocket,Chyntia Juls,Unsplash,1.72,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1613915617430-8ab0fd7c6baf?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHwzfHxmYXNoaW9uJTIwZWRpdG9yaWFsJTIwcGhvdG9ncmFwaHklMjBtb25vY2hyb21lfGVufDF8fHx8MTc4OTU5Nzc4OXww&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/person-in-blazer-and-trousers-HlVjI5WmoQY,https://unsplash.com/@chyntiajuls
fashion editorial photography monochrome,photography,Photography sources should dominate top ranking while still preserving licensing and source labels.,5,unsplash-MsAXaqPPg1A,with DOTO.,mojtaba mosayebzadeh,Unsplash,1.71,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1645561305502-63a9ba09ab09?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHw0fHxmYXNoaW9uJTIwZWRpdG9yaWFsJTIwcGhvdG9ncmFwaHklMjBtb25vY2hyb21lfGVufDF8fHx8MTc4OTU5Nzc4OXww&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/a-woman-wearing-sunglasses-and-a-coat-MsAXaqPPg1A,https://unsplash.com/@mojiw
documentary photo market scene,photography,"Top results should include modern real-world photos and compact, clear attribution fields.",1,unsplash-pdadDc_I_-U,"Fish trading activities, Traditional markets",The Ian,Unsplash,1.95,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1581405784382-207abf7aeb95?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHwyfHxkb2N1bWVudGFyeSUyMHBob3RvJTIwbWFya2V0JTIwc2NlbmV8ZW58MXx8fHwxNzg5NTk3NzkwfDA&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/people-standing-on-street-during-daytime-pdadDc_I_-U,https://unsplash.com/@theian20
documentary photo market scene,photography,"Top results should include modern real-world photos and compact, clear attribution fields.",2,unsplash-9SyG7TQ5PbI,Traditional Marketplace,Falaq Lazuardi,Unsplash,1.94,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1598063413828-0d42356b9573?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHwzfHxkb2N1bWVudGFyeSUyMHBob3RvJTIwbWFya2V0JTIwc2NlbmV8ZW58MXx8fHwxNzg5NTk3NzkwfDA&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/woman-in-blue-and-red-floral-dress-walking-on-street-during-daytime-9SyG7TQ5PbI,https://unsplash.com/@falaqkun
documentary photo market scene,photography,"Top results should include modern real-world photos and compact, clear attribution fields.",3,unsplash-D1UXDjVr8cw,"Berber Market, Morocco",Annie Spratt,Unsplash,1.93,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1517137744310-173515c62d59?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHw0fHxkb2N1bWVudGFyeSUyMHBob3RvJTIwbWFya2V0JTIwc2NlbmV8ZW58MXx8fHwxNzg5NTk3NzkwfDA&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/group-of-people-on-day-market-D1UXDjVr8cw,https://unsplash.com/@anniespratt
documentary photo market scene,photography,"Top results should include modern real-world photos and compact, clear attribution fields.",4,unsplash-fcMDSktNL3s,"Candid shot of blackberries and other produce at the Granville Island Public Market in Vancouver, British Columbia.",Wes Hicks,Unsplash,1.91,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1577110905059-99e821bb9852?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHw2fHxkb2N1bWVudGFyeSUyMHBob3RvJTIwbWFya2V0JTIwc2NlbmV8ZW58MXx8fHwxNzg5NTk3NzkwfDA&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/variety-of-fruits-displayed-in-the-market-fcMDSktNL3s,https://unsplash.com/@sickhews
documentary photo market scene,photography,"Top results should include modern real-world photos and compact, clear attribution fields.",5,aic-21934,Kitchen Scene,"Diego Velázquez (Spanish, 1599–1660)",Art Institute of Chicago,1.83,Public Domain,,,,,,slavery;still life;African;domestic;domestic scenes;female;interior;jug;kitchen;portraits: African subject;servingware;Utensil;vase;women,17th Century;Baroque,painting;oil painting;painting (image making);painting techniques,,http://commons.wikimedia.org/wiki/Special:FilePath/Diego%20Vel%C3%A1zquez%20-%20Kitchen%20Scene%20-%201935.380%20-%20Art%20Institute%20of%20Chicago.jpg?width=843,https://www.artic.edu/artworks/21934,https://www.artic.edu
documentary photo market scene,photography,"Top results should include modern real-world photos and compact, clear attribution fields.",6,aic-896,The Road to Market,"Constant Troyon (French, 1810–1865)",Art Institute of Chicago,1.82,Public Domain,,,,,,livestock;sheep;animals;horse;paths;road;trees;nature;dog;dogs;men;women;woman;shepherds;sky,nineteenth century;19th century,oil painting;painting techniques;painting (image making);painting,,http://commons.wikimedia.org/wiki/Special:FilePath/Constant%20Troyon%20-%20The%20Road%20to%20Market%20-%201894.1068%20-%20Art%20Institute%20of%20Chicago.jpg?width=843,https://www.artic.edu/artworks/896,https://www.artic.edu
renaissance portrait woman profile,portrait,Museum portrait works should rank above unrelated modern photography.,1,unsplash-pT8oML-bLtU,"Title: Portrait of a Woman, Said to Be Caritas Pirckheimer (1467–1532),Artist: Imitator of Albrecht Dürer (20th century),Medium: Oil on linen,Dimensions: 18 1/2 x 14 1/2 in. (47 x 36.8 cm),Classification: Paintings,Credit Line: Gift of Julie and Lawrence Salander, 2006,Object Number: 2006.151.1,Curatorial Department: European Paintings. http://www.metmuseum.org/art/collection/search/438844",The Metropolitan Museum of Art,Unsplash,2.18,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1783765399333-723123b053fa?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHwxfHxyZW5haXNzYW5jZSUyMHBvcnRyYWl0JTIwd29tYW4lMjBwcm9maWxlfGVufDF8fHx8MTc4OTU5Nzc5MHww&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/older-woman-wearing-a-brown-hood-and-white-wimple-pT8oML-bLtU,https://unsplash.com/@metropolitanmuseum
renaissance portrait woman profile,portrait,Museum portrait works should rank above unrelated modern photography.,2,unsplash-gjuoUVTFWhM,"Title: Portrait of a young Woman Publisher: Rijksmuseum Date: 1480 - 1499 Providing institution: Rijksmuseum Aggregator: Rijksmuseum Providing Country: Netherlands Public Domain Portrait of a young Woman - Rijksmuseum, Netherlands - Public Domain.",Europeana,Unsplash,2.15,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1752317591841-bbca8ed3eb0b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHw0fHxyZW5haXNzYW5jZSUyMHBvcnRyYWl0JTIwd29tYW4lMjBwcm9maWxlfGVufDF8fHx8MTc4OTU5Nzc5MHww&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/profile-of-a-woman-in-a-red-and-white-dress-gjuoUVTFWhM,https://unsplash.com/@europeana
renaissance portrait woman profile,portrait,Museum portrait works should rank above unrelated modern photography.,3,aic-110872,Portrait of a Lady,"Follower of Titian (Italian, c. 1488-1576)",Art Institute of Chicago,2.03,Public Domain,,,,,,portraits: female subject;woman;portraits;portrait;lace,sixteenth century;Renaissance;16th Century,oil painting;painting techniques;painting (image making);painting,,http://commons.wikimedia.org/wiki/Special:FilePath/Titian%20-%20Portrait%20of%20a%20Lady%20-%201954.301%20-%20Art%20Institute%20of%20Chicago.jpg?width=843,https://www.artic.edu/artworks/110872,https://www.artic.edu
renaissance portrait woman profile,portrait,Museum portrait works should rank above unrelated modern photography.,4,unsplash-mTvLK4-TGlg,"Title: The Potato Peeler (reverse: Self-Portrait with a Straw Hat),Artist: Vincent van Gogh (Dutch, Zundert 1853–1890 Auvers-sur-Oise),Date: 1885,Medium: Oil on canvas,Dimensions: 16 x 12 1/2 in. (40.6 x 31.8 cm),Classification: Paintings,Credit Line: Bequest of Miss Adelaide Milton de Groot (1876-1967), 1967,Object Number: 67.187.70b,Curatorial Department: European Paintings.",The Metropolitan Museum of Art,Unsplash,1.94,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1782850249812-62a63abf7ce0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHwzfHxyZW5haXNzYW5jZSUyMHBvcnRyYWl0JTIwd29tYW4lMjBwcm9maWxlfGVufDF8fHx8MTc4OTU5Nzc5MHww&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/a-woman-in-a-white-headscarf-peeling-an-object-mTvLK4-TGlg,https://unsplash.com/@metropolitanmuseum
renaissance portrait woman profile,portrait,Museum portrait works should rank above unrelated modern photography.,5,aic-90060,Sinan Reis and Hayreddin Barbarossa,Italian,Art Institute of Chicago,1.82,Public Domain,,,,,,portraits: multiple subjects;profile;man;men;islamic;Jewish people;portrait;portraits: male subject;Century of Progress;world's fairs;Chicago World's Fairs,16th Century;Renaissance,painting;painting (image making);painting techniques,,http://commons.wikimedia.org/wiki/Special:FilePath/Imitator%20of%20Gentile%20Bellini%20-%20Sinan%20the%20Jew%20and%20Haireddin%20Barbarossa%20-%201947.53%20-%20Art%20Institute%20of%20Chicago.jpg?width=843,https://www.artic.edu/artworks/90060,https://www.artic.edu
renaissance portrait woman profile,portrait,Museum portrait works should rank above unrelated modern photography.,6,unsplash-tAGVIAe9VDc,"Head of a Young Girl c. 1890 Auguste Renoir Associated Names Auguste Renoir Artist, French, 1841 - 1919 https://www.nga.gov/artworks/35083-head-young-girl",National Gallery of Art,Unsplash,1.73,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1763069192793-ae8cbbbac026?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHwyfHxyZW5haXNzYW5jZSUyMHBvcnRyYWl0JTIwd29tYW4lMjBwcm9maWxlfGVufDF8fHx8MTc4OTU5Nzc5MHww&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/woman-with-updo-against-a-floral-background-tAGVIAe9VDc,https://unsplash.com/@nationalgallery
self portrait oil painting,portrait,Results should show portrait-relevant artwork with artist names and minimal vague metadata.,1,unsplash-GAjjjn4kFwM,"Title: Self-Portrait,Artist: Rembrandt (Rembrandt van Rijn) (Dutch, Leiden 1606–1669 Amsterdam),Date: 1660,Medium: Oil on canvas,Dimensions: 31 5/8 x 26 1/2 in. (80.3 x 67.3 cm),Classification: Paintings,Credit Line: Bequest of Benjamin Altman, 1913,Object Number: 14.40.618,Curatorial Department: European Paintings. http://www.metmuseum.org/art/collection/search/437397",The Metropolitan Museum of Art,Unsplash,2.59,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1782233941364-f79a0700b3ad?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHw0fHxzZWxmJTIwcG9ydHJhaXQlMjBvaWwlMjBwYWludGluZ3xlbnwxfHx8fDE3ODk1OTc3OTB8MA&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/a-painted-portrait-of-a-man-with-a-dark-hat-GAjjjn4kFwM,https://unsplash.com/@metropolitanmuseum
self portrait oil painting,portrait,Results should show portrait-relevant artwork with artist names and minimal vague metadata.,2,aic-69003,Self-Portrait,"Nicolas de Largillière (French, 1656–1746)",Art Institute of Chicago,2.37,Public Domain,,,,,,self-portraits;artist;blue (color);Canvas;painting;fashion;portraits: French subject;portraits: male subject;portrait;portraits,18th Century,oil painting;painting;painting (image making);painting techniques,,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolas%20de%20Largilli%C3%A8re%20-%20Self-Portrait%20-%201987.57%20-%20Art%20Institute%20of%20Chicago.jpg?width=843,https://www.artic.edu/artworks/69003,https://www.artic.edu
self portrait oil painting,portrait,Results should show portrait-relevant artwork with artist names and minimal vague metadata.,3,aic-80607,Self-Portrait,"Vincent van Gogh (Dutch, 1853–1890)",Art Institute of Chicago,2.3,Public Domain,,,,,,portraits;red (color);blue (color);green (color);orange (color);artist;self-portraits;emotions;men;suits;beards,Post-Impressionism;19th century;nineteenth century,oil painting;painting;painting techniques;painting (image making),Essentials,http://commons.wikimedia.org/wiki/Special:FilePath/Vincent%20van%20Gogh%20-%20Self-Portrait%20-%201954.326%20-%20Art%20Institute%20of%20Chicago.jpg?width=843,https://www.artic.edu/artworks/80607,https://www.artic.edu
self portrait oil painting,portrait,Results should show portrait-relevant artwork with artist names and minimal vague metadata.,4,aic-110661,Self-Portrait,"Frédéric Bazille (French, 1841-1870)",Art Institute of Chicago,2.29,Public Domain,,,,,,portraits;paintbrushes;painters;artist;self-portraits;work;men,Impressionism;19th century,painting;oil painting;painting (image making);painting techniques,,http://commons.wikimedia.org/wiki/Special:FilePath/Fr%C3%A9d%C3%A9ric%20Bazille%20-%20Self-Portrait%20-%201962.336%20-%20Art%20Institute%20of%20Chicago.jpg?width=843,https://www.artic.edu/artworks/110661,https://www.artic.edu
self portrait oil painting,portrait,Results should show portrait-relevant artwork with artist names and minimal vague metadata.,5,unsplash-gbDOcvYbcYg,"Portrait of the Artist Léon Bonnat (French, 1833-1922) (Artist) 1885 oil on canvas (18th and 19th Centuries ) Credit Line Acquired by William T. Walters, 1885 https://art.thewalters.org/object/37.74/",The Walters Art Museum,Unsplash,2.16,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1762117499087-2e1bb8e0bbe0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHwzfHxzZWxmJTIwcG9ydHJhaXQlMjBvaWwlMjBwYWludGluZ3xlbnwxfHx8fDE3ODk1OTc3OTB8MA&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/a-distinguished-man-in-a-hat-and-suit-gbDOcvYbcYg,https://unsplash.com/@thewalters
self portrait oil painting,portrait,Results should show portrait-relevant artwork with artist names and minimal vague metadata.,6,unsplash-I5wNzQ70pRw,"Self-Portrait with White Collar c. 1857 Edgar Degas Associated Names Edgar Degas Painter, French, 1834 - 1917 https://www.nga.gov/artworks/92994-self-portrait-white-collar",National Gallery of Art,Unsplash,2.14,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1766169776624-24399cc458ed?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHw1fHxzZWxmJTIwcG9ydHJhaXQlMjBvaWwlMjBwYWludGluZ3xlbnwxfHx8fDE3ODk1OTc3OTB8MA&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/I5wNzQ70pRw,https://unsplash.com/@nationalgallery
photographic portrait natural window light,portrait,"Photography portrait references should appear strongly, while preserving source credibility labels.",1,aic-154235,The Girl by the Window,"Edvard Munch (Norwegian, 1863–1944)",Art Institute of Chicago,2.04,Public Domain,,,,,,interiors;window;night;light;girl;domestic;curtains;blue (color);blue;domestic scenes;night scenes;children,Post-Impressionism;nineteenth century;19th century,oil painting;painting techniques;painting;painting (image making),,http://commons.wikimedia.org/wiki/Special:FilePath/Edvard%20Munch%20-%20The%20Girl%20by%20the%20Window%20-%202000.50%20-%20Art%20Institute%20of%20Chicago.jpg?width=843,https://www.artic.edu/artworks/154235,https://www.artic.edu
photographic portrait natural window light,portrait,"Photography portrait references should appear strongly, while preserving source credibility labels.",2,unsplash-PUX5LdNIdOM,a woman sitting on a stool looking out a window,Nicole Geri,Unsplash,1.93,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1654651102111-3baa7143be0b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHw0fHxwaG90b2dyYXBoaWMlMjBwb3J0cmFpdCUyMG5hdHVyYWwlMjB3aW5kb3clMjBsaWdodHxlbnwxfHx8fDE3ODk1OTc3OTF8MA&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/a-woman-sitting-on-a-stool-looking-out-a-window-PUX5LdNIdOM,https://unsplash.com/@nicolegeri
photographic portrait natural window light,portrait,"Photography portrait references should appear strongly, while preserving source credibility labels.",3,unsplash-zQeffnYw1-w,Young woman in front of ornate window at sunset,quentin touvard,Unsplash,1.91,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1771148885669-bd3e3a1af640?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHw2fHxwaG90b2dyYXBoaWMlMjBwb3J0cmFpdCUyMG5hdHVyYWwlMjB3aW5kb3clMjBsaWdodHxlbnwxfHx8fDE3ODk1OTc3OTF8MA&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/young-woman-in-front-of-ornate-window-at-sunset-zQeffnYw1-w,https://unsplash.com/@qt_picture
photographic portrait natural window light,portrait,"Photography portrait references should appear strongly, while preserving source credibility labels.",4,aic-81576,Mrs. Potter Palmer,"Anders Leonard Zorn (Swedish, 1860–1920)",Art Institute of Chicago,1.74,Public Domain,,,,,,portraits: female subject;woman;window;wealth;portraits;portrait;pink (color);luxury;jewelry;interior;dresses,nineteenth century;19th century,oil painting;painting techniques;painting (image making);painting,,http://commons.wikimedia.org/wiki/Special:FilePath/Anders%20Zorn%20-%20Mrs.%20Potter%20Palmer%20-%201922.450%20-%20Art%20Institute%20of%20Chicago.jpg?width=843,https://www.artic.edu/artworks/81576,https://www.artic.edu
photographic portrait natural window light,portrait,"Photography portrait references should appear strongly, while preserving source credibility labels.",5,unsplash-bVQWhU2iXpg,woman in white dress shirt,Jakob Owens,Unsplash,1.74,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1611518006116-f33992c268e8?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHwxfHxwaG90b2dyYXBoaWMlMjBwb3J0cmFpdCUyMG5hdHVyYWwlMjB3aW5kb3clMjBsaWdodHxlbnwxfHx8fDE3ODk1OTc3OTF8MA&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/woman-in-white-dress-shirt-bVQWhU2iXpg,https://unsplash.com/@jakobowens1
photographic portrait natural window light,portrait,"Photography portrait references should appear strongly, while preserving source credibility labels.",6,unsplash-vdm3U6WkBEM,man in black long sleeve shirt,Ilona Panych,Unsplash,1.73,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1579983927913-b4a15a99a560?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHwyfHxwaG90b2dyYXBoaWMlMjBwb3J0cmFpdCUyMG5hdHVyYWwlMjB3aW5kb3clMjBsaWdodHxlbnwxfHx8fDE3ODk1OTc3OTF8MA&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/man-in-black-long-sleeve-shirt-vdm3U6WkBEM,https://unsplash.com/@we_are_details
hands reference drawing and photo,mixed reference,Search should combine museum and photography sources and return diverse but relevant top 6 results.,1,unsplash-QPsKvBKkMTA,"Title: Study of Arms for ""The Cadence of Autumn"" Artist: Evelyn De Morgan (British, London 1855–1919 London), Date: 1905, Medium: Graphite and pastel, Classification: Drawings, Credit Line: The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 2018, Object Number: 2018.861, Curatorial Department: Drawings and Prints",The Metropolitan Museum of Art,Unsplash,1.95,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1786014894707-6fe6cab16a09?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHwyfHxoYW5kcyUyMHJlZmVyZW5jZSUyMGRyYXdpbmclMjBhbmQlMjBwaG90b3xlbnwxfHx8fDE3ODk1OTc3OTF8MA&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/hands-touching-blonde-hair-QPsKvBKkMTA,https://unsplash.com/@metropolitanmuseum
hands reference drawing and photo,mixed reference,Search should combine museum and photography sources and return diverse but relevant top 6 results.,2,unsplash-PNBPBlwCEWk,"Title: Hands Artist: Karawina, Erica, 1904-2003 Contributor: Federal Art Project Sponsor: United States. Works Progress Administration Sponsor: United States. Work Projects Administration Name on Item: Erica Karawina Date: [1935–1943] https://www.digitalcommonwealth.org/search/commonwealth:p2679h109",Boston Public Library,Unsplash,1.93,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1711655803317-f29e37c72068?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHw0fHxoYW5kcyUyMHJlZmVyZW5jZSUyMGRyYXdpbmclMjBhbmQlMjBwaG90b3xlbnwxfHx8fDE3ODk1OTc3OTF8MA&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/a-black-and-white-drawing-of-a-hand-holding-something-PNBPBlwCEWk,https://unsplash.com/@bostonpubliclibrary
hands reference drawing and photo,mixed reference,Search should combine museum and photography sources and return diverse but relevant top 6 results.,3,unsplash-itKuZdlNHVI,"Title: Bones of the hands Creator: Bones of the hands Date: 1858 Providing institution: Leiden University Libraries Aggregator: Dutch Collections for Europe Providing Country: Netherlands Public Domain Bones of the hands by Adriaans, H.M - 1858 - Leiden University Libraries, Netherlands - Public Domain. https://www.europeana.eu/item/744/item_3459401",Europeana,Unsplash,1.91,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1716996641746-25e77e53c45b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHw2fHxoYW5kcyUyMHJlZmVyZW5jZSUyMGRyYXdpbmclMjBhbmQlMjBwaG90b3xlbnwxfHx8fDE3ODk1OTc3OTF8MA&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/two-anatomical-drawings-of-human-hand-skeletons-itKuZdlNHVI,https://unsplash.com/@europeana
hands reference drawing and photo,mixed reference,Search should combine museum and photography sources and return diverse but relevant top 6 results.,4,unsplash-3Bk5r-1l0n8,"Title: Anatomy of the human hand Creator: Desmaretz, Sébastien, (active 1795-1825), (printmaker) Date: 1798 Providing institution: Leiden University Libraries Aggregator: Dutch Collections for Europe Providing Country: Netherlands Public Domain Anatomy of the human hand by Desmaretz, Sébastien, (active 1795-1825), (printmaker) - 1798 - Leiden University Libraries, Netherlands - Public Domain. https://www.europeana.eu/item/815/item_3280488",Europeana,Unsplash,1.74,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1716996642059-25102d521412?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHwxfHxoYW5kcyUyMHJlZmVyZW5jZSUyMGRyYXdpbmclMjBhbmQlMjBwaG90b3xlbnwxfHx8fDE3ODk1OTc3OTF8MA&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/four-detailed-sketches-of-human-hands-in-various-poses-3Bk5r-1l0n8,https://unsplash.com/@europeana
hands reference drawing and photo,mixed reference,Search should combine museum and photography sources and return diverse but relevant top 6 results.,5,unsplash-nUnnt84-MGw,"Title: Muscular anatomy of the human hand Creator: Desmaretz, Sébastien, (active 1795-1825), (printmaker) Date: 1798 Providing institution: Leiden University Libraries Aggregator: Dutch Collections for Europe Providing Country: Netherlands Public Domain Muscular anatomy of the human hand by Desmaretz, Sébastien, (active 1795-1825), (printmaker) - 1798 - Leiden University Libraries, Netherlands - Public Domain. https://www.europeana.eu/item/815/item_3280489",Europeana,Unsplash,1.72,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1716996642039-6611a1307f42?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHwzfHxoYW5kcyUyMHJlZmVyZW5jZSUyMGRyYXdpbmclMjBhbmQlMjBwaG90b3xlbnwxfHx8fDE3ODk1OTc3OTF8MA&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/anatomical-drawing-of-human-hands-and-tendons-nUnnt84-MGw,https://unsplash.com/@europeana
hands reference drawing and photo,mixed reference,Search should combine museum and photography sources and return diverse but relevant top 6 results.,6,unsplash-zyydGXyIRnI,"Title: Skeletal anatomy of the human hand Creator: Desmaretz, Sébastien, (active 1795-1825), (printmaker) Date: 1798 Providing institution: Leiden University Libraries Aggregator: Dutch Collections for Europe Providing Country: Netherlands Public Domain Skeletal anatomy of the human hand by Desmaretz, Sébastien, (active 1795-1825), (printmaker) - 1798 - Leiden University Libraries, Netherlands - Public Domain. https://www.europeana.eu/item/815/item_3280509",Europeana,Unsplash,1.7,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1716996642036-2d62f3440466?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHw1fHxoYW5kcyUyMHJlZmVyZW5jZSUyMGRyYXdpbmclMjBhbmQlMjBwaG90b3xlbnwxfHx8fDE3ODk1OTc3OTF8MA&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/four-anatomical-views-of-a-human-hand-skeleton-zyydGXyIRnI,https://unsplash.com/@europeana
urban figure pose reference,mixed reference,Results should blend modern photography with possible museum figure studies based on ranking signals.,1,unsplash-DjpM9Qg3vtI,"Starall Action Figure, posable mannequin, posable, posable, illustration, product shot, anime, manga, male, figure, white background, pose,",Brett Jordan,Unsplash,2.18,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1630412612984-9b645d1c97ac?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHwxfHx1cmJhbiUyMGZpZ3VyZSUyMHBvc2UlMjByZWZlcmVuY2V8ZW58MXx8fHwxNzg5NTk3NzkyfDA&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/woman-in-gray-and-white-suit-DjpM9Qg3vtI,https://unsplash.com/@brett_jordan
